condition,medication,symptoms,wellness_advice,side_effects,treatment_options
Diabetes,Citalopram,Fatigue,Maintain a balanced diet,Constipation,Cognitive Behavioral Therapy
Diabetes,Paracetamol,Abdominal Pain,Avoid smoking,Drowsiness,Rest and Hydration
Flu,Montelukast,Diarrhea,Regular health check-ups,Swelling,Palliative Care
Insomnia,Metformin,Nausea,Get enough sleep,Increased Heart Rate,Nutritional Therapy
Flu,Metformin,Headache,Limit alcohol consumption,Dizziness,Palliative Care
Chronic Pain,Lisinopril,Sore Throat,Limit alcohol consumption,Swelling,Medication
Hypertension,Lisinopril,Dizziness,Practice good hygiene,Drowsiness,Pain Relievers
Bronchitis,Gabapentin,Rash,Avoid smoking,Dizziness,Rest and Hydration
Stroke,Atorvastatin,Sore Throat,Practice mindfulness,Nausea,Nutritional Therapy
Depression,Albuterol,Vomiting,Avoid smoking,Headache,Rest and Hydration
Depression,Levothyroxine,Cough,Exercise regularly,Weight Gain,Immunotherapy
Bronchitis,Simvastatin,Diarrhea,Get enough sleep,Nausea,Pain Relievers
Cancer,Simvastatin,Sore Throat,Get enough sleep,Blurred Vision,Antibiotics
Pneumonia,Amoxicillin,Diarrhea,Practice good hygiene,Fatigue,Immunotherapy
Stroke,Gabapentin,Chest Pain,Exercise regularly,Increased Heart Rate,Immunotherapy
Pneumonia,Codeine,Fever,Practice mindfulness,Dizziness,Antibiotics
Diabetes,Prednisone,Dizziness,Practice mindfulness,Nausea,Pain Relievers
Bronchitis,Citalopram,Fever,Stay hydrated,Fatigue,Rest and Hydration
Diabetes,Aspirin,Joint Pain,Limit alcohol consumption,Fever,Counseling
Heart Disease,Sertraline,Joint Pain,Avoid smoking,Headache,Counseling
Depression,Warfarin,Dizziness,Exercise regularly,Increased Heart Rate,Chemotherapy
Pneumonia,Prednisone,Chest Pain,Exercise regularly,Swelling,Physical Therapy
Heart Disease,Aspirin,Diarrhea,Get enough sleep,Dry Mouth,Antibiotics
Insomnia,Montelukast,Nausea,Limit alcohol consumption,Loss of Appetite,Immunotherapy
Asthma,Warfarin,Dizziness,Maintain a balanced diet,Increased Heart Rate,Counseling
Common Cold,Amoxicillin,Rash,Get enough sleep,Dry Mouth,Cognitive Behavioral Therapy
Common Cold,Montelukast,Nausea,Practice mindfulness,Fatigue,Rehabilitation
Anxiety,Sertraline,Abdominal Pain,Get enough sleep,Rash,Cognitive Behavioral Therapy
Bronchitis,Warfarin,Cough,Practice mindfulness,Loss of Appetite,Pain Relievers
Chronic Pain,Atorvastatin,Back Pain,Manage stress effectively,Anxiety,Vaccination
Pneumonia,Albuterol,Sore Throat,Get enough sleep,Constipation,Surgery
Alzheimer’s,Levothyroxine,Blurred Vision,Stay hydrated,Constipation,Alternative Medicine
Anxiety,Omeprazole,Runny Nose,Practice good hygiene,Loss of Appetite,Chemotherapy
Diabetes,Insulin,Joint Pain,Get enough sleep,Fever,Palliative Care
